year,ISO_code,countries,region,pf_rol,pf_religion_restrictions,pf_religion,pf_expression_control,pf_expression,pf_score,pf_rank,ef_money_inflation,ef_money_currency,ef_money,ef_score,ef_rank,hf_score,hf_rank,hf_quartile,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
2010,ALB,Albania,Eastern Europe,4.9,8.933333333,9.416666667,5.75,7.604166667,7.757250056,55,9.289546522,10,9.725022467,7.35,38,7.553625028,49,2,89,132,54,4.9
2010,DZA,Algeria,Middle East & North Africa,4.465447,4.072222222,4.383703704,4.25,6.702380952,5.208712498,146,9.217391304,5,7.174649972,5.07,147,5.139356249,151,4,25,0,14,0.7
2010,AGO,Angola,Sub-Saharan Africa,3.812441,7.502777778,6.809814815,3.75,6.551195445,5.175389809,147,7.105891761,5,5.57022646,5.3,145,5.237694904,147,4,217,57,45,5.9
2010,ARG,Argentina,Latin America & the Caribbean,5.3,7.822222222,9.138518519,4.25,8.260603153,8.181316211,46,4.68,5,6.587399456,5.59,139,6.885658106,84,3,193,25,221,8.3
2010,ARM,Armenia,Caucasus & Central Asia,4.859971,5.972222222,7.025,3.75,6.770833333,7.416263196,70,8.363684891,10,9.179140596,7.56,23,7.488131598,51,2,21,179,11,3.8
2010,AUS,Australia,Oceania,7.8,8.75,9.20037037,7.75,9.44047619,9.265385741,8,9.430954864,10,9.472435741,8.02,5,8.642692871,5,1,261,72,212,10.4
2010,AUT,Austria,Western Europe,7.7,6.25,8.349259259,8,9.333333333,9.023048392,20,9.637293653,10,9.642062233,7.62,18,8.321524196,17,1,279,75,191,9.7
2010,AZE,Azerbaijan,Caucasus & Central Asia,4.3158,6.525,6.226481481,2.25,7.020793756,6.652655389,101,8.866415374,5,6.252251254,5.97,128,6.311327694,119,4,21,46,5,1.3
2010,BHS,Bahamas,Latin America & the Caribbean,6.424465,6.247222222,7.845833333,7.5,9.125,7.894137083,52,9.731194523,0,7.298387146,7.38,37,7.637068542,47,2,122,176,51,6.3
2010,BHR,Bahrain,Middle East & North Africa,6.084358,5.088888889,5.338888889,3.25,4.988095238,6.321460784,118,9.607623063,10,8.392210732,7.47,29,6.895730392,83,3,42,63,7,2
2010,BGD,Bangladesh,South Asia,3.5,5.463888889,5.782777778,4.75,8.431086905,5.538410446,140,8.374664722,0,6.483123823,6.35,109,5.944205223,128,4,0,0,0,0
2010,BRD,Barbados,Latin America & the Caribbean,6.91422,8.888888889,9.241111111,7.5,9.125,8.029702324,51,8.835156293,0,6.578430801,6.63,92,7.329851162,57,2,143,173,36,6.3
2010,BLR,Belarus,Eastern Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,373,42,14.4
2010,BEL,Belgium,Western Europe,7.5,7.033333333,8.563703704,9,9.714285714,9.097983244,14,9.5622767,10,9.694263904,7.39,36,8.243991622,22,1,295,84,212,10.5
2010,BLZ,Belize,Latin America & the Caribbean,5.009618,8.933333333,9.411111111,7.75,8.770833333,7.379314222,74,9.82133995,0,7.230524038,6.52,100,6.949657111,77,2,263,114,8,6.8
2010,BEN,Benin,Sub-Saharan Africa,4.50626,9.816666667,8.868148148,7,9.047619048,6.779761985,96,9.538528636,0,6.803341734,6.05,125,6.414880992,114,3,34,4,13,1.1
2010,BTN,Bhutan,South Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,0,0.4
2010,BOL,Bolivia,Latin America & the Caribbean,3.7,8.933333333,8.573703704,4.75,8.630952381,7.38430108,73,9.499646595,10,8.698899126,6.35,109,6.86715054,85,3,167,41,8,3.8
2010,BIH,Bosnia and Herzegovina,Eastern Europe,6.1,7.5,8.08,4.25,7.8125,8.204545457,45,9.56229243,5,8.265473624,6.63,92,7.417272729,53,2,76,173,8,4.6
2010,BWA,Botswana,Sub-Saharan Africa,6.2,8.472222222,8.481481481,5.75,7.916666667,6.799651896,94,8.610224683,10,8.265413624,7.02,67,6.909825948,81,3,173,35,35,5.4
2010,BRA,Brazil,Latin America & the Caribbean,5.5,9.4,9.347407407,5.25,8.582170517,7.768350401,54,8.992336611,5,7.967202911,6.46,103,7.114175201,68,2,245,145,16,7.2
2010,BRN,Brunei Darussalam,South Asia,6.587717,NA,NA,3.75,6.104166667,6.377936151,114,9.928626174,10,8.311021893,7.07,63,6.723968076,95,3,31,2,1,0.6
2010,BGR,Bulgaria,Eastern Europe,5.3,6.944444444,8.442222222,6.5,7.547619048,8.299025453,42,9.512198172,10,9.510341125,7.3,46,7.799512726,42,2,231,252,94,10.3
2010,BFA,Burkina Faso,Sub-Saharan Africa,4.9,9.261111111,8.722592593,6.25,8.845238095,7.584140139,62,9.847153853,0,6.873302213,5.93,131,6.75707007,92,3,25,7,7,4.3
2010,BDI,Burundi,Sub-Saharan Africa,3.880462,6.572222222,7.788333333,2.5,6.00650413,6.352195784,116,8.719750195,5,7.006742494,5.18,146,5.766097892,135,4,88,0,0,6.3
2010,KHM,Cambodia,South Asia,3.8,9.166666667,8.058888889,4.25,8.178571429,7.746636983,57,9.200753984,10,9.264627142,7.08,62,7.413318491,54,2,57,65,1,2.2
2010,CMR,Cameroon,Sub-Saharan Africa,3.4,8.011111111,8.555925926,3.75,7.391801836,5.69852424,133,9.744923908,0,6.736629134,6.08,123,5.88926212,131,4,147,1,4,5.8
2010,CAN,Canada,North America,7.7,9.305555556,9.657407407,8,9.476190476,9.270230174,7,9.644625692,10,9.457052525,8.01,6,8.640115087,5,1,240,122,100,8.2
2010,CPV,Cape Verde,Sub-Saharan Africa,6.070753,7.219444444,7.4875,7.75,8.9375,8.312047047,41,9.584267058,0,7.156926523,6.38,108,7.346023524,56,2,NA,NA,NA,NA
2010,CAF,Central Afr. Rep.,Sub-Saharan Africa,3.730815,5.6,7.574444444,4.25,7.797619048,5.387512612,143,9.701353243,0,6.945021795,5.04,149,5.213756306,148,4,17,2,1,1.8
2010,TCD,Chad,Sub-Saharan Africa,3.458729,8.1,8.542592593,2.25,6.845238095,5.699935901,132,9.584,0,6.296664907,5.44,143,5.569967951,141,4,15,1,1,0.4
2010,CHL,Chile,Latin America & the Caribbean,6.7,5.830555556,7.852407407,6.75,9.154761905,8.652734191,36,9.71800705,10,8.942217713,7.89,8,8.271367096,19,1,130,124,172,7.6
2010,CHN,China,East Asia,4.7,7.733333333,5.40962963,1.5,4.500630255,5.56364402,138,9.337090814,5,7.885325453,6.26,115,5.91182201,130,4,79,192,8,5
2010,COL,Colombia,Latin America & the Caribbean,4.8,6.111111111,7.877037037,3,7.806345543,6.883966501,91,9.544355968,5,8.202817586,6.74,84,6.811983251,88,3,159,76,3,4.2
2010,COD,"Congo, Dem. R.",Sub-Saharan Africa,3.309082,5.972222222,7.150555556,2,5.52920951,5.515803067,141,8.58,10,7.88519157,5.38,144,5.447901533,145,4,32,3,1,2.3
2010,COG,"Congo, Rep. Of",Sub-Saharan Africa,3.93488,7.361111111,8.092962963,4.75,8.011904762,6.665292353,100,9,0,4.691992666,4.74,150,5.702646176,137,4,76,1,9,1.7
2010,CRI,Costa Rica,Latin America & the Caribbean,6.165984,9.35,9.619444444,8.25,9.145833333,8.084007548,50,8.86795387,5,7.995148598,7.28,48,7.682003774,46,2,149,87,11,4.4
2010,CIV,Cote d'Ivoire,Sub-Saharan Africa,3.8,7.727777778,7.640740741,3,8,5.816049804,129,9.664866918,0,6.557841572,5.69,137,5.753024902,136,4,37,1,7,4
2010,HRV,Croatia,Eastern Europe,5.6,6.111111111,7.847777778,5.75,8.1875,8.148326999,48,9.7903867,5,8.417152785,6.68,88,7.414163499,54,2,230,87,254,10.2
2010,CYP,Cyprus,Eastern Europe,7.118284,7.827777778,8.801851852,7.75,9.44047619,8.938169405,23,9.523748327,10,9.435373741,7.73,14,8.334084703,16,1,192,154,113,8.2
2010,CZE,Czech Rep.,Eastern Europe,7.3,7.916666667,8.888518519,8,9.523809524,9.091980335,15,9.718256415,10,9.44940224,7.22,52,8.155990168,26,1,361,170,134,11.8
2010,DNK,Denmark,Western Europe,8.6,8.333333333,9.094074074,8.5,9.69047619,9.488762058,3,9.540453976,10,9.595949133,7.77,13,8.629381029,7,1,224,81,278,10.4
2010,DOM,Dominican Rep.,Latin America & the Caribbean,5.1,8.333333333,8.095925926,5,8.952380952,6.971664476,89,8.73401356,10,9.238978414,7.16,59,7.065832238,70,2,193,147,9,6.2
2010,ECU,Ecuador,Latin America & the Caribbean,4.6,8.333333333,8.851851852,4.25,8.369047619,7.411652062,71,9.288775239,0,6.379163545,5.87,135,6.640826031,102,3,162,74,3,4.2
2010,EGY,Egypt,Middle East & North Africa,4.2,9.722222222,7.599259259,4,6.125872098,5.538519199,139,7.746962347,10,8.81121571,6.35,109,5.944259599,128,4,6,4,1,0.2
2010,SLV,El Salvador,Latin America & the Caribbean,3.9,8.011111111,9.005555556,5.75,8.020833333,7.228298611,81,9.764132846,10,9.252219013,7.21,54,7.219149306,62,2,52,69,2,2.2
2010,EST,Estonia,Eastern Europe,7.5,7.916666667,9.12037037,8.5,9.547619048,9.06663718,17,9.405186958,10,9.43390026,7.82,10,8.44331859,11,1,224,194,59,9.5
2010,ETH,Ethiopia,Sub-Saharan Africa,4.5,5.555555556,7.17,1.75,5.089606697,5.347052802,145,8.372611774,0,5.393755906,5.6,138,5.473526401,144,4,20,3,0,0.7
2010,FJI,Fiji,Oceania,4.343008,6.569444444,7.295833333,3.25,6.8125,7.563436446,65,8.891897521,0,6.666761401,6.93,73,7.246718223,60,2,77,35,1,2
2010,FIN,Finland,Western Europe,8.7,8.838888889,9.244074074,9.25,9.75,9.500482178,2,9.756960468,10,9.617123974,7.79,12,8.645241089,4,1,263,133,97,10
2010,FRA,France,Western Europe,7,7.594444444,8.961111111,7.5,9.357142857,8.784171308,29,9.694072124,10,9.665615345,7.42,35,8.102085654,28,1,127,151,370,11.8
2010,GAB,Gabon,Sub-Saharan Africa,4.805554,8.1,8.12962963,4.25,7.55952381,6.06027311,123,9.707691195,0,5.652028138,5.54,141,5.800136555,133,4,347,98,59,8.9
2010,GMB,"Gambia, The",Sub-Saharan Africa,4.805554,8.377777778,8.781111111,1.25,4.168422065,5.57620801,137,8.990493747,5,7.922044426,7.24,49,6.408104005,114,3,8,0,1,2.4
2010,GEO,Georgia,Caucasus & Central Asia,6,7.544444444,8.62,4.5,7.458333333,8.13660921,49,8.580115967,10,8.804075115,7.5,27,7.818304605,41,2,52,100,149,5.4
