playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
sanchga02,2019,1,NYA,AL,106,396,62,92,12,1,34,77,0,1,40,125,3,9,0,1,3
chiriro01,2019,1,HOU,AL,114,366,57,87,22,1,17,58,1,2,51,125,1,13,2,5,11
mathije01,2019,1,TEX,AL,88,228,17,36,9,0,2,12,1,0,15,87,1,0,0,1,2
contrwi01,2019,1,CHN,NL,105,360,57,98,18,2,24,64,1,2,38,102,2,9,0,2,4
vazquch01,2019,1,BOS,AL,138,482,66,133,26,1,23,72,4,2,33,101,3,0,3,3,17
mccanbr01,2019,1,ATL,NL,85,277,28,69,9,0,12,45,0,0,31,53,1,2,0,6,10
martiru01,2019,1,LAN,NL,83,209,29,46,5,0,6,20,1,0,30,60,3,8,0,2,1
severpe01,2019,1,BAL,AL,96,305,37,76,13,0,13,44,3,1,29,73,0,4,1,2,5
realmjt01,2019,1,PHI,NL,145,538,92,148,36,3,25,83,9,1,41,123,2,5,0,8,12
gomesya01,2019,1,WAS,NL,97,314,36,70,16,0,12,43,2,0,38,84,6,5,0,1,7
suzukku01,2019,1,WAS,NL,85,280,37,74,11,0,17,63,0,1,20,36,1,6,0,3,10
flowety01,2019,1,ATL,NL,85,271,36,62,11,3,11,34,0,0,31,105,3,6,0,2,8
kellyca02,2019,1,ARI,NL,111,314,46,77,19,0,18,47,0,0,48,79,10,2,0,1,11
perezro02,2019,1,CLE,AL,119,389,46,93,9,1,24,63,0,0,45,127,1,4,7,4,12
