playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
baezja01,2019,1,CHN,NL,138,531,89,149,38,4,29,85,11,7,28,156,3,0,0,2,16
boteda01,2019,1,CHN,NL,127,303,47,78,17,0,11,41,5,1,44,93,4,7,0,2,11
bryankr01,2019,1,CHN,NL,147,543,108,153,35,1,31,77,4,0,74,145,1,15,0,2,10
rizzoan01,2019,1,CHN,NL,146,512,89,150,29,3,27,94,5,2,71,86,3,27,0,3,15
lemahdj01,2019,1,NYA,AL,145,602,109,197,33,2,26,102,5,2,46,90,0,2,1,4,14
torregl01,2019,1,NYA,AL,144,546,96,152,26,0,38,90,5,2,48,129,3,3,1,6,10
urshegi01,2019,1,NYA,AL,132,442,73,139,34,0,21,74,1,1,25,87,1,5,0,4,13
voitlu01,2019,1,NYA,AL,118,429,72,113,21,1,21,62,0,0,71,142,2,9,0,1,12
altuvjo01,2019,1,HOU,AL,124,500,89,149,27,3,31,74,6,5,41,82,0,3,1,3,19
bregmal01,2019,1,HOU,AL,156,554,122,164,37,2,41,112,5,1,119,83,2,9,0,8,9
gourryu01,2019,1,HOU,AL,144,564,85,168,40,2,31,104,5,3,37,65,2,5,0,6,12
andruel01,2019,1,TEX,AL,147,600,81,165,27,4,12,72,31,8,34,96,1,4,0,10,16
forsylo01,2019,1,TEX,AL,101,317,38,72,17,1,7,39,2,0,44,100,0,3,0,2,8
odorro01,2019,1,TEX,AL,145,522,77,107,30,1,30,93,11,9,52,178,2,5,1,1,4
bogaexa01,2019,1,BOS,AL,155,614,110,190,52,0,33,117,4,2,76,122,2,2,0,6,11
deverra01,2019,1,BOS,AL,156,647,129,201,54,4,32,115,8,8,48,119,7,4,1,2,8
albieoz01,2019,1,ATL,NL,160,640,102,189,43,8,24,86,15,4,54,112,6,4,0,4,2
donaljo02,2019,1,ATL,NL,155,549,96,142,33,0,37,94,4,2,100,155,2,8,0,2,13
freemfr01,2019,1,ATL,NL,158,597,113,176,34,2,38,121,6,3,87,127,11,6,0,2,17
swansda01,2019,1,ATL,NL,127,483,77,121,26,3,17,65,10,5,51,124,2,5,1,5,7
adamsma01,2019,1,WAS,NL,111,310,42,70,14,0,20,56,0,0,20,115,1,2,0,1,7
doziebr01,2019,1,WAS,NL,135,416,54,99,20,0,20,50,3,4,61,105,2,4,0,1,11
kendrho01,2019,1,WAS,NL,121,334,61,115,23,1,17,62,2,1,27,49,1,4,0,5,11
rendoan01,2019,1,WAS,NL,146,545,117,174,44,3,34,126,5,1,80,86,8,12,0,9,13
