,Stadium,Date,FoulType,FoulTypeNbr,ExitVelocity,FoulZone
3,Mariners,5/18/19,Fly,2,56.9,4
4,Mariners,5/18/19,Fly,2,78.8,1
7,Mariners,5/18/19,Fly,2,74.8,2
9,Mariners,5/18/19,Fly,2,70.7,4
10,Mariners,5/18/19,Fly,2,73.4,4
11,Mariners,5/18/19,Fly,2,76,5
13,Mariners,5/18/19,Fly,2,72.1,2
15,Mariners,5/18/19,Line,4,95.9,5
16,Mariners,5/18/19,Fly,2,74.4,2
17,Mariners,5/18/19,Batter hits self,1,69.9,1
19,Mariners,5/18/19,Ground,3,76.2,2
20,Mariners,5/18/19,Fly,2,72,4
22,Mariners,5/18/19,Line,4,84.9,5
25,Mariners,5/18/19,Fly,2,73.2,3
26,Mariners,5/18/19,Fly,2,104.6,6
27,Mariners,5/18/19,Ground,3,96.2,4
30,Mariners,5/18/19,Ground,3,74.6,1
31,Mariners,5/18/19,Line,4,76.1,5
33,Mariners,5/18/19,Fly,2,72,4
35,Mariners,5/18/19,Fly,2,72.2,1
37,Mariners,5/18/19,Fly,2,74,4
38,Mariners,5/18/19,Fly,2,64.5,4
39,Mariners,5/18/19,Ground,3,100.8,5
40,Mariners,5/18/19,Ground,3,56,2
41,Mariners,5/18/19,Fly,2,62.2,4
42,Mariners,5/18/19,Fly,2,78.6,4
43,Mariners,5/18/19,Fly,2,61.3,4
46,Mariners,5/18/19,Fly,2,88.1,5
47,Mariners,5/18/19,Fly,2,73.4,1
49,Mariners,5/18/19,Fly,2,74.6,2
51,Mariners,5/18/19,Fly,2,78.9,1
53,Mariners,5/18/19,Fly,2,62.6,4
55,Mariners,5/18/19,Ground,3,85.2,5
57,Mariners,5/18/19,Ground,3,92.1,5
58,Mariners,5/18/19,Pop Up,5,76.4,1
59,Mariners,5/18/19,Fly,2,77.6,1
60,Mariners,5/18/19,Ground,3,96.8,5
62,Mariners,5/18/19,Fly,2,84.7,4
63,Mariners,5/18/19,Ground,3,66.7,2
66,Mariners,5/18/19,Fly,2,94,7
67,Mariners,5/18/19,Line,4,63.7,1
68,Mariners,5/18/19,Line,4,94.8,4
69,Mariners,5/18/19,Ground,3,100.7,4
72,Mariners,5/18/19,Ground,3,70.9,5
75,Mariners,5/18/19,Fly,2,79.2,1
76,Mariners,5/18/19,Fly,2,87.3,4
78,Mariners,5/18/19,Fly,2,77.6,1
79,Mariners,5/18/19,Fly,2,76.9,1
80,Mariners,5/18/19,Fly,2,98.6,5
81,Mariners,5/18/19,Pop Up,5,81.7,1
82,Mariners,5/18/19,Fly,2,76.3,4
83,Mariners,5/18/19,Fly,2,79.3,4
87,Mariners,5/18/19,Fly,2,81,5
88,Mariners,5/18/19,Fly,2,85.8,4
90,Mariners,5/18/19,Fly,2,67.6,1
91,Mariners,5/18/19,Fly,2,89.7,4
92,Mariners,5/18/19,Fly,2,74.3,1
93,Mariners,5/18/19,Ground,3,106.6,5
94,Mariners,5/18/19,Fly,2,76.2,4
95,Mariners,5/18/19,Fly,2,76.8,2
96,Mariners,5/18/19,Ground,3,55.1,5
98,Mariners,5/18/19,Fly,2,73.4,4
99,Mariners,5/18/19,Ground,3,78.8,2
101,Orioles,4/20/19,Line,4,110.6,4
102,Orioles,4/20/19,Fly,2,95.2,5
104,Orioles,4/20/19,Fly,2,105.3,6
107,Orioles,4/20/19,Pop Up,5,74.9,1
108,Orioles,4/20/19,Fly,2,71,3
109,Orioles,4/20/19,Line,4,64.5,5
110,Orioles,4/20/19,Ground,3,98.4,4
112,Orioles,4/20/19,Fly,2,65.8,3
114,Orioles,4/20/19,Line,4,42,1
115,Orioles,4/20/19,Ground,3,61.2,1
116,Orioles,4/20/19,Fly,2,98.7,4
