,ï..matchup,game_date,type_of_hit,type_of_hit_nbr,exit_velocity,predicted_zone,camera_zone,used_zone
1,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,1,1,1
2,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,4,NA,4
3,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,56.9,4,NA,4
4,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,78.8,1,1,1
5,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,2,NA,2
6,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,1,1,1
7,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,74.8,2,NA,2
8,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,1,1,1
9,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,70.7,4,NA,4
10,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,73.4,4,NA,4
11,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,76,5,5,5
12,Seattle Mariners VS Minnesota Twins,5/18/19,Line,4,NA,1,1,1
13,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,72.1,2,NA,2
14,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,4,NA,4
15,Seattle Mariners VS Minnesota Twins,5/18/19,Line,4,95.9,5,5,5
16,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,74.4,2,NA,2
17,Seattle Mariners VS Minnesota Twins,5/18/19,Batter hits self,1,69.9,1,1,1
18,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,2,NA,2
19,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,76.2,2,NA,2
20,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,72,4,NA,4
21,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,2,NA,2
22,Seattle Mariners VS Minnesota Twins,5/18/19,Line,4,84.9,5,5,5
23,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,4,NA,4
24,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,2,NA,2
25,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,73.2,3,NA,3
26,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,104.6,6,6,6
27,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,96.2,4,NA,4
28,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,1,1,1
29,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,5,NA,5
30,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,74.6,1,1,1
31,Seattle Mariners VS Minnesota Twins,5/18/19,Line,4,76.1,5,5,5
32,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,4,NA,4
33,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,72,4,NA,4
34,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,4,NA,4
35,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,72.2,1,1,1
36,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,4,NA,4
37,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,74,4,NA,4
38,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,64.5,4,NA,4
39,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,100.8,5,5,5
40,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,56,2,NA,2
41,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,62.2,4,NA,4
42,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,78.6,2,4,4
43,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,61.3,4,NA,4
44,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,2,4,4
45,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,2,NA,2
46,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,88.1,5,5,5
47,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,73.4,1,1,1
48,Seattle Mariners VS Minnesota Twins,5/18/19,Line,4,NA,1,1,1
49,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,74.6,2,NA,2
50,Seattle Mariners VS Minnesota Twins,5/18/19,Batter hits self,1,NA,1,1,1
51,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,78.9,1,1,1
52,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,2,2,2
53,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,62.6,4,NA,4
54,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,5,NA,5
55,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,85.2,5,5,5
56,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,2,NA,2
57,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,92.1,5,NA,5
58,Seattle Mariners VS Minnesota Twins,5/18/19,Pop Up,5,76.4,1,1,1
59,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,77.6,1,1,1
60,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,96.8,5,5,5
61,Seattle Mariners VS Minnesota Twins,5/18/19,Batter hits self,1,NA,1,1,1
62,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,84.7,4,4,4
63,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,66.7,2,NA,2
64,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,5,NA,5
65,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,5,NA,5
66,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,94,7,7,7
67,Seattle Mariners VS Minnesota Twins,5/18/19,Line,4,63.7,1,1,1
68,Seattle Mariners VS Minnesota Twins,5/18/19,Line,4,94.8,4,4,4
69,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,100.7,4,4,4
70,Seattle Mariners VS Minnesota Twins,5/18/19,Line,4,NA,1,1,1
71,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,3,NA,3
72,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,70.9,5,NA,5
73,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,3,3,3
74,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,5,NA,5
75,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,79.2,1,1,1
76,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,87.3,4,4,4
77,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,4,NA,4
78,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,77.6,1,1,1
79,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,76.9,1,1,1
80,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,98.6,5,5,5
81,Seattle Mariners VS Minnesota Twins,5/18/19,Pop Up,5,81.7,1,1,1
82,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,76.3,4,NA,4
83,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,79.3,4,NA,4
84,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,3,NA,3
85,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,5,NA,5
86,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,4,NA,4
87,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,81,5,NA,5
88,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,85.8,4,4,4
89,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,4,NA,4
90,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,67.6,1,1,1
91,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,89.7,4,NA,4
92,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,74.3,1,1,1
93,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,106.6,5,5,5
94,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,76.2,4,NA,4
95,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,76.8,2,NA,2
96,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,55.1,5,NA,5
97,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,NA,4,NA,4
98,Seattle Mariners VS Minnesota Twins,5/18/19,Fly,2,73.4,4,NA,4
99,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,78.8,2,NA,2
100,Seattle Mariners VS Minnesota Twins,5/18/19,Ground,3,NA,3,3,3
101,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,110.6,4,4,4
102,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,95.2,5,NA,5
103,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,5,NA,5
104,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,105.3,6,6,6
105,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,5,NA,5
106,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,1,1,1
107,Baltimore Orioles VS Minnesota Twins,4/20/19,Pop Up,5,74.9,1,1,1
108,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,71,3,NA,3
109,Baltimore Orioles VS Minnesota Twins,4/20/19,Line,4,64.5,5,NA,5
